"","segDates..length.segDates..","signals"
"1",2006-01-09,"S"
"2",2006-02-27,"S"
"3",2006-03-28,"U"
"4",2006-05-02,"D"
"5",2006-06-16,"U"
"6",2006-07-17,"U"
"7",2006-08-25,"U"
"8",2006-10-06,"U"
"9",2006-11-17,"D"
"10",2006-12-08,"U"
"11",2007-01-11,"U"
"12",2007-02-09,"D"
"13",2007-03-13,"U"
"14",2007-04-17,"S"
"15",2007-06-01,"U"
"16",2007-07-23,"D"
"17",2007-08-15,"U"
"18",2007-09-19,"U"
"19",2007-10-29,"D"
"20",2007-12-10,"D"
"21",2008-02-01,"D"
"22",2008-03-19,"U"
"23",2008-05-08,"D"
"24",2008-07-08,"U"
"25",2008-07-29,"D"
"26",2008-08-29,"D"
"27",2008-10-29,"D"
"28",2008-11-24,"U"
"29",2008-12-29,"D"
"30",2009-01-29,"D"
"31",2009-03-09,"U"
"32",2009-04-23,"U"
"33",2009-06-08,"D"
"34",2009-07-02,"U"
"35",2009-08-07,"U"
"36",2009-09-11,"U"
"37",2009-10-20,"U"
"38",2009-11-25,"D"
"39",2010-01-06,"D"
"40",2010-02-17,"U"
"41",2010-04-09,"D"
"42",2010-05-31,"U"
"43",2010-07-09,"U"
"44",2010-08-06,"S"
"45",2010-08-27,"U"
"46",2010-10-18,"U"
"47",2010-11-10,"D"
"48",2010-12-10,"U"
"49",2011-01-17,"D"
"50",2011-02-15,"S"
"51",2011-03-17,"U"
"52",2011-04-14,"D"
"53",2011-05-23,"D"
"54",2011-06-30,"U"
"55",2011-07-22,"D"
"56",2011-09-01,"D"
"57",2011-10-06,"U"
"58",2011-11-08,"D"
"59",2011-12-12,"U"
"60",2012-01-18,"U"
"61",2012-02-23,"D"
"62",2012-04-12,"D"
"63",2012-06-04,"U"
"64",2012-06-29,"S"
"65",2012-08-02,"S"
"66",2012-09-03,"U"
"67",2012-10-22,"D"
"68",2012-11-15,"U"
"69",2012-12-19,"U"
"70",2013-01-25,"D"
"71",2013-02-28,"D"
"72",2013-03-28,"U"
"73",2013-05-09,"D"
"74",2013-06-27,"U"
"75",2013-08-13,"U"
"76",2013-09-19,"S"
"77",2013-10-18,"U"
"78",2013-11-29,"D"
"79",2014-01-02,"D"
"80",2014-02-21,"S"
"81",2014-03-14,"U"
"82",2014-04-28,"U"
"83",2014-06-10,"U"
"84",2014-07-22,"U"
"85",2014-08-29,"D"
"86",2014-10-10,"U"
"87",2014-11-07,"D"
"88",2014-12-18,"U"
"89",2015-02-16,"D"
"90",2015-03-16,"U"
"91",2015-04-30,"D"
"92",2015-07-17,"D"
"93",2015-09-24,"U"
"94",2015-10-22,"D"
